insee_com;name;num_screens;num_seats;address;art;screen_3d;lat;lon
75101;UGC CINE CITE LES HALLES;27;3894;101 RUE BERGER;NON;OUI;48.861424;2.345829
75102;GRAND REX;7;4274;5 BD POISSONNIERE;NON;OUI;48.86872;2.347608
75102;GAUMONT OPERA PREMIER;6;1138;32 RUE LOUIS LEGRAND;NON;NON;48.870632;2.334338
75102;LE BEVERLEY;1;100;14 RUE VILLE NEUVE;NON;NON;48.870120;2.348667
75103;MK2 BEAUBOURG;6;557;50 RUE RAMBUTEAU;OUI;OUI;48.861555;2.352217
75104;LUMINOR HOTEL DE VILLE;2;238;20 RUE DU TEMPLE;OUI;NON;48.858689;2.353591
75105;STUDIO GALANDE;1;97;42 RUE GALANDE;OUI;NON;48.851619;2.347076
75105;ESPACE SAINT MICHEL;2;210;7 PLACE ST MICHEL;OUI;NON;48.853093;2.344228
75105;ECOLES 21;2;200;23 RUE DES ECOLES;OUI;NON;48.848384;2.348973
75105;LE CINEMA DU PANTHEON;1;200;13 RUE VICTOR COUSIN;OUI;NON;48.847502;2.342301
75105;ACCATONE;1;73;20 RUE CUJAS;OUI;NON;48.84815;2.341975
75105;LE CHAMPO;2;236;51 RUE DES ECOLES;OUI;NON;48.849983;2.343211
75105;QUARTIER LATIN I;2;164;9 RUE CHAMPOLLION;OUI;NON;48.849504;2.342788
75105;STUDIO DES URSULINES;1;122;10 RUE DES URSULINES;OUI;NON;48.842733;2.342044
75105;REFLET MEDICIS 2;3;372;7 RUE CHAMPOLLION;OUI;NON;48.849591;2.342836
75105;EPEE DE BOIS;2;140;100 RUE MOUFFETARD;OUI;OUI;48.841535;2.34958
75105;LE GRAND ACTION;2;346;5 RUE DES ECOLES;OUI;NON;48.847537;2.352122
75106;UGC MONTPARNASSE;7;1592;83 BD DU MONTPARNASSE;NON;OUI;48.84351;2.325646
75106;MK2 HAUTEFEUILLE;4;690;7 RUE HAUTEFEUILLE;OUI;OUI;48.852188;2.342788
75106;MK2 ODEON;5;815;113 BD ST GERMAIN;NON;OUI;48.852437;2.338266
75106;LUXEMBOURG;3;334;67 69 RUE MONSIEUR LE PRINCE;OUI;NON;48.84824;2.340797
75106;ST ANDRE DES ARTS;3;510;30 RUE ST ANDRE DES ARTS;OUI;NON;48.853361;2.34211
75106;MK2 PARNASSE;3;284;11 RUE JULES CHAPLAIN;OUI;OUI;48.842813;2.330525
75106;UGC ROTONDE;3;454;103 BD DU MONTPARNASSE;NON;NON;48.842318;2.328975
75106;BRETAGNE;2;1020;73 BD DU MONTPARNASSE;NON;OUI;48.843752;2.324925
75106;LUCERNAIRE FORUM;3;148;53 RUE NOTRE DAME DES CHAMPS;OUI;NON;48.844244;2.330407
75106;CHRISTINE 21;2;234;4 RUE CHRISTINE;OUI;NON;48.854455;2.340132
75106;ST GERMAIN DES PRES;1;252;22 RUE GUILLAUME APOLLINAIRE;OUI;NON;48.85467;2.333052
75106;L'ARLEQUIN PANORAMA;3;595;76 RUE DE RENNES;OUI;NON;48.851278;2.330648
75106;UGC DANTON;4;684;99 BD ST GERMAIN;NON;OUI;48.852138;2.338995
75106;NOUVEL ODEON;1;119;6 RUE DE L ECOLE DE MEDECINE;OUI;NON;48.850764;2.341747
75106;UGC ODEON;5;722;124 BD ST GERMAIN;NON;NON;48.852353;2.339834
75108;GEORGE V;11;1666;146 AVENUE DES CHAMPS ELYSEES;NON;OUI;48.873073;2.298394
75108;UGC NORMANDIE;4;1610;116 AVENUE DES CHAMPS ELYSEES;NON;OUI;48.872265;2.300938
75108;BALZAC;3;589;1 RUE BALZAC;OUI;OUI;48.872431;2.299525
75108;GAUMONT CHAMPS ELYSEES MARIGNAN;6;1701;27/33 AVENUE DES CHAMPS ELYSEES;NON;OUI;48.869654;2.306873
75108;ELYSEES LINCOLN;3;448;14 RUE LINCOLN;OUI;NON;48.870512;2.303157
75108;PUBLICIS ELYSEES;2;609;133 AV DES CHAMPS ELYSEES;NON;NON;48.872794;2.296984
75108;MK2 GRAND PALAIS;1;92;COURS LA REINE PORTE C;NON;NON;48.8649;2.314116
75109;UGC OPERA;4;760;32 BD DES ITALIENS;NON;NON;48.871332;2.335302
75109;GAUMONT OPERA CAPUCINES;7;2169;2/4 BOULEVARD DES CAPUCINES;NON;OUI;48.871044;2.33361
75109;MAX LINDER;1;591;24 BD POISSONNIERE;NON;NON;48.871363;2.344886
75109;CAUMARTIN 1  EX CINEVOG;5;501;101 RUE ST LAZARE;OUI;NON;48.87561;2.32791
75110;L'ARCHIPEL;2;204;17 BD DE STRASBOURG;OUI;NON;48.870455;2.35466
75110;LE BRADY;2;139;39 BOULEVARD DE STRASBOURG;OUI;NON;48.871771;2.355398
75110;LE LOUXOR;3;556;170 BOULEVARD DE MAGENTA;OUI;NON;48.883487;2.349853
75111;MK2 BASTILLE (COTE FG ST ANTOINE);3;430;5 RUE DU FAUBOURG ST ANTOINE;OUI;NON;48.853157;2.370719
75111;MAJESTIC BASTILLE;2;356;4 BD RICHARD LENOIR;OUI;NON;48.860238;2.37214
75111;MK2 BASTILLE;4;469;3 BD R LENOIR 4/6 BD BEAUMARCHAI;OUI;OUI;48.854674;2.369381
75112;MK2 NATION;6;551;133 BOULEVARD DIDEROT;NON;NON;48.848213;2.39311
75112;UGC LYON BASTILLE;7;1274;12 RUE DE LYON;NON;OUI;48.847502;2.371855
75112;UGC CINE CITE BERCY;18;4440;2 COUR SAINT-EMILION;NON;OUI;48.833595;2.38604
75113;LES FAUVETTES;5;645;58 AVENUE DES GOBELINS;NON;OUI;48.833574;2.353775
75113;UGC  GOBELINS;11;1138;66 BIS AV DES GOBELINS;NON;OUI;48.832888;2.354241
75113;ESCURIAL;2;329;11 BD PORT ROYAL;OUI;NON;48.836817;2.349632
75113;MK2 BIBLIOTHEQUE;16;2981;128 A 162 AVENUE DE FRANCE;NON;OUI;48.833718;2.373922
75113;MK2 A&E;4;520;15/43 QUAI FRANCOIS MAURIAC;NON;OUI;48.832993;2.378615
75114;GAUMONT PARNASSE;15;2876;3 RUE D'ODESSA;NON;OUI;48.843074;2.324424
75114;ENTREPOT;3;250;7 ET 9 RUE FRANCIS DE PRESSENSE;OUI;NON;48.83393;2.31652
75114;PARNASSIEN;7;842;98 BD DU MONTPARNASSE;OUI;OUI;48.842443;2.327625
75114;GAUMONT MONTPARNOS;4;397;16 18 RUE D ODESSA;NON;NON;48.841914;2.324596
75114;GAUMONT ALESIA;8;1384;73 AVENUE DU GENERAL LECLERC;NON;OUI;48.828166;2.327463
75114;CHAPLIN DENFERT;1;133;24 PLACE DENFERT ROCHEREAU;OUI;NON;48.833879;2.330976
75115;CHAPLIN SAINT LAMBERT;3;365;6 RUE PECLET;OUI;OUI;48.843204;2.298558
75115;GAUMONT CONVENTION;9;1263;27 RUE ALAIN CHARTIER;NON;OUI;48.837759;2.296259
75115;GAUMONT AQUABOULEVARD;14;2583;8/16 RUE DU COLONEL PIERRE AVIA;NON;OUI;48.830408;2.276322
75115;PATHE BEAUGRENELLE;10;1962;7 RUE LINOIS;NON;OUI;48.848895;2.282585
75116;MAJESTIC PASSY;3;617;18 - 20 RUE DE PASSY;NON;OUI;48.858204;2.282104
75117;UGC MAILLOT;4;764;PALAIS CONGRES PL PORTE MAILLOT;NON;NON;48.878512;2.282965
75117;MAC MAHON;1;137;5/7 AV MAC MAHON;NON;OUI;48.875715;2.294655
